date,or_size_pct,or_close_position,breakout_dir,breakout_minute,vol_ratio,mfe_pre_retest_pct,mins_to_retest,outcome_60min,outcome_120min,outcome_cierre,mins_resolution
2018-08-14,0.2606,0.2569,down,19,1.2221,0.3818,31.0,falla,falla,falla,30.0
2018-08-17,0.4533,0.6412,down,36,0.8491,0.3633,70.0,neutro,neutro,falla,169.0
2018-08-20,0.4183,0.2011,down,20,1.3361,0.2061,13.0,continuacion,continuacion,continuacion,11.0
2018-08-21,0.2276,0.8268,up,17,1.0345,0.216,85.0,continuacion,continuacion,continuacion,25.0
2018-08-23,0.421,0.9987,up,15,0.9988,0.2038,21.0,continuacion,continuacion,continuacion,15.0
2018-08-30,0.2638,0.4501,up,48,0.6011,0.2465,51.0,neutro,continuacion,continuacion,77.0
2018-08-31,0.3444,0.7816,up,16,1.0228,0.2029,42.0,neutro,neutro,falla,222.0
2018-09-04,0.2643,0.6143,up,16,1.0665,0.248,50.0,falla,falla,falla,48.0
2018-09-10,0.5129,0.2473,down,17,1.064,0.3309,34.0,neutro,neutro,neutro,
2018-09-12,0.3901,0.8172,down,24,0.8581,0.6913,79.0,neutro,neutro,neutro,
2018-09-18,0.6952,0.8961,up,15,0.8159,0.202,23.0,continuacion,continuacion,continuacion,6.0
2018-09-19,0.5988,0.1558,down,15,1.0767,0.3897,82.0,neutro,neutro,neutro,
2018-09-20,0.442,0.8397,up,31,0.6836,0.2984,34.0,neutro,continuacion,continuacion,70.0
2018-09-24,0.5411,0.9796,up,15,0.9055,0.417,55.0,continuacion,continuacion,continuacion,39.0
2018-10-08,0.6211,0.918,up,15,0.8526,0.2447,17.0,continuacion,continuacion,continuacion,9.0
2018-10-09,0.6944,0.8066,up,30,1.1438,0.5668,61.0,neutro,neutro,neutro,
2018-10-11,1.1002,0.1871,up,19,1.2196,0.8434,16.0,falla,falla,falla,59.0
2018-10-15,0.7943,0.2845,down,25,0.8656,0.5968,38.0,neutro,neutro,falla,196.0
2018-10-16,0.3919,0.8972,up,15,0.8785,0.2516,24.0,falla,falla,falla,24.0
